"link","Pje_Total_BP_en_RC"
"060280108",0
"060280201",0.12
"060280205",0
"060280206",0.02
"060280208",0.01
"060280305",0.01
"060280402",0.17
"060280404",0.08
"060280405",0.35
"060280406",0.01
"060280506",0.06
"060280507",0.33
"060280508",0.67
"060280509",0
"060280510",0
"060280511",0
"060280512",0
"060280513",0.1
"060280609",0
"060280610",0.27
"060280611",0.47
"060280612",0
"060280711",0.01
"060280801",0.14
"060280802",0
"060280803",0.04
"060280804",0.01
"060280808",0.04
"060280904",0.06
"060281410",0.14
"060281504",0
"060281505",0.08
"060281807",0.09
"060281808",0.12
"060281903",0
"060281904",0
"060281905",0.95
"060281906",0.01
"060281907",0.8
"060281908",0
"060281910",0.01
"060281911",0
"060281913",0.48
"060282004",0
"060282005",0.39
"060282006",0
"060282007",0.57
"060282008",0
"060282009",0.22
"060282010",0.34
"060282011",0.2
"060282012",0.01
"060282015",0
"060282703",0.26
"060282705",0
"060282706",0.98
"060282707",0.17
"060282804",0.12
"060282810",0.17
"060282811",0.18
"060282904",0
"060282910",0.08
"060282911",0
"060282912",0.19
"060283004",0.25
"060283005",0.34
"060283006",0.34
"060283007",0.63
"060283008",0.43
"060283009",0.01
"060283010",1
"060283011",0.03
"060283107",0.03
"060283108",0
"060283109",0
"060283301",0.39
"060283314",0.45
"060283501",0.05
"060283502",0.15
"060283605",0.04
"060283606",0
"060283612",0.59
"060283613",0.72
"060283614",0.12
"060283615",0
"060283703",0
"060283710",0.05
"060283713",0.04
"060283801",0.09
"060283808",0
"060283901",0.97
"060283902",1
"060283903",0.95
"060283904",0.01
"060283905",0
"060283906",0.09
"060283907",0.14
"060283911",0.72
"060283912",0.2
"060283913",0
"060283914",0.01
"060283915",0
"060350101",0.05
"060350102",0.01
"060350111",0.21
"060350201",0.04
"060350202",0.03
"060350203",0.22
"060350302",0.02
"060350303",0
"060350401",0.39
"060350402",0
"060350403",0.53
"060350404",0.46
"060350405",0.04
"060350504",0
"060350505",0.42
"060350507",0.11
"060350609",0.01
"060350610",0.01
"060350611",0.09
"060350701",0.08
"060350702",0
"060350813",0.06
"060350815",0.27
"060350902",0
"060350903",0
"060350904",0.71
"060350905",0.1
